Data Point,1_clusters,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters,9_clusters,10_clusters
0,0,1,1,3,3,3,4,2,2,2
1,0,1,1,3,3,3,4,2,2,2
2,0,0,2,2,2,2,3,7,8,8
3,0,1,2,2,2,2,3,7,8,8
4,0,0,2,2,2,5,5,6,6,6
5,0,1,1,1,4,4,6,5,5,5
6,0,1,1,3,3,3,4,2,2,2
7,0,0,2,2,2,2,2,7,7,7
8,0,1,2,2,2,2,2,7,7,7
9,0,1,1,1,4,4,6,5,3,3
10,0,1,2,2,1,1,3,1,8,8
11,0,1,1,3,3,3,4,2,2,2
12,0,0,0,0,0,0,0,0,0,9
13,0,1,2,2,2,2,3,7,8,8
14,0,1,1,3,3,3,4,1,1,1
15,0,1,1,3,3,3,4,5,5,2
16,0,1,2,2,1,1,1,1,8,8
17,0,1,1,3,1,1,1,1,1,1
18,0,1,1,3,3,3,4,2,2,2
19,0,1,1,3,3,3,4,2,2,2
20,0,1,1,3,1,3,4,1,1,1
21,0,1,1,3,3,3,4,2,2,2
22,0,1,1,3,3,3,4,2,2,2
23,0,1,1,3,1,1,1,4,1,1
24,0,0,2,2,2,2,3,7,8,8
25,0,1,1,3,1,1,1,1,1,1
26,0,1,2,2,2,2,2,7,8,8
27,0,1,2,3,3,3,3,2,8,8
28,0,0,2,2,2,2,2,7,7,7
29,0,1,2,2,2,2,2,7,7,7
30,0,1,1,1,4,4,6,3,3,3
31,0,1,2,2,2,2,3,7,8,8
32,0,1,1,3,3,3,4,2,2,2
33,0,1,2,2,2,2,3,7,8,8
34,0,1,1,3,3,3,4,2,2,2
35,0,1,1,3,3,3,4,2,2,2
36,0,1,1,3,3,3,4,2,2,0
37,0,1,2,2,1,1,1,1,8,8
38,0,0,0,2,2,2,3,7,7,0
39,0,1,2,2,2,2,2,7,7,7
40,0,1,2,2,2,2,2,7,7,7
41,0,1,1,1,4,4,6,3,3,5
42,0,0,2,2,1,1,1,4,4,4
43,0,1,2,2,2,2,2,7,7,7
44,0,1,2,2,2,2,3,7,8,8
45,0,1,1,3,3,3,4,2,2,2
46,0,1,1,3,3,3,4,2,2,2
47,0,1,1,3,3,3,4,2,2,0
48,0,1,1,3,3,3,4,2,2,0
49,0,1,1,3,3,3,4,2,2,2
50,0,1,1,3,3,3,4,1,1,1
51,0,1,1,3,3,3,4,2,2,0
52,0,1,1,0,0,0,0,0,0,0
53,0,1,1,1,4,4,6,5,5,5
54,0,0,2,2,2,2,3,7,8,8
55,0,0,2,2,1,1,1,4,4,4
56,0,0,0,0,0,0,0,0,0,0
57,0,1,2,2,1,1,1,1,8,8
58,0,0,2,2,2,2,3,7,8,8
59,0,1,1,3,1,1,1,1,1,1
60,0,0,0,0,0,0,0,0,0,9
